,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
T0,0,13,14,13,16,15,14,13,14,15,15,12,11,15,19,20,25,19,9,10,23,25,13,15
T1,13,0,4,1,10,6,8,8,8,24,24,20,13,11,17,15,17,14,13,14,19,16,13,12
T2,14,4,0,4,6,3,4,4,4,22,21,23,9,7,15,14,16,14,9,10,19,17,9,8
T3,13,1,4,0,10,6,8,8,8,23,24,20,13,11,16,15,17,13,13,14,18,16,13,12
T4,16,10,6,10,0,3,5,5,5,26,27,25,10,13,17,15,16,18,15,16,18,16,15,13
T5,15,6,3,6,3,0,1,2,1,23,23,23,6,9,16,14,18,15,11,13,20,17,12,10
T6,14,8,4,8,5,1,0,1,0,24,24,23,8,11,16,15,16,15,13,14,20,16,13,12
T7,13,8,4,8,5,2,1,0,1,23,23,24,8,11,17,15,17,14,13,14,20,17,14,12
T8,14,8,4,8,5,1,0,1,0,24,24,23,8,11,16,14,16,14,13,14,20,16,13,12
T9,15,24,22,23,26,23,24,23,24,0,1,5,26,20,30,28,29,31,17,17,31,29,18,19
T10,15,24,21,24,27,23,24,23,24,1,0,4,26,20,29,28,30,30,17,17,30,29,18,19
T11,12,20,23,20,25,23,23,24,23,5,4,0,23,16,29,27,29,28,18,15,32,29,16,15
T12,11,13,9,13,10,6,8,8,8,26,26,23,0,16,13,15,15,10,18,19,16,15,18,17
T13,15,11,7,11,13,9,11,11,11,20,20,16,16,0,18,17,13,17,16,17,16,13,3,1
T14,19,17,15,16,17,16,16,17,16,30,29,29,13,18,0,3,9,16,16,15,14,10,15,18
T15,20,15,14,15,15,14,15,15,14,28,28,27,15,17,3,0,6,14,16,14,11,7,17,16
T16,25,17,16,17,16,18,16,17,16,29,30,29,15,13,9,6,0,8,18,16,5,1,15,14
T17,19,14,14,13,18,15,15,14,14,31,30,28,10,17,16,14,8,0,21,21,12,8,14,17
T18,9,13,9,13,15,11,13,13,13,17,17,18,18,16,16,16,18,21,0,3,17,18,18,17
T19,10,14,10,14,16,13,14,14,14,17,17,15,19,17,15,14,16,21,3,0,19,16,19,18
T20,23,19,19,18,18,20,20,20,20,31,30,32,16,16,14,11,5,12,17,19,0,4,18,17
T21,25,16,17,16,16,17,16,17,16,29,29,29,15,13,10,7,1,8,18,16,4,0,14,13
T22,13,13,9,13,15,12,13,14,13,18,18,16,18,3,15,17,15,14,18,19,18,14,0,3
T23,15,12,8,12,13,10,12,12,12,19,19,15,17,1,18,16,14,17,17,18,17,13,3,0
